IDX__global,IDX__step,IDX__sub_step,TARG__DE_price,FUTU__Load_DA_Forecast,F_L-1__Renewables_DA_Forecast,CONST_L-2__TTF_Gas,CONST__wd_sin,CONST__wd_cos,Hour,Date
0,0,0,25.02,41841.89225,8364.60525,21.296,0.433884,-0.900969,0,2015-01-01
1,0,1,18.29,39969.675,8624.796999999999,21.296,0.433884,-0.900969,1,2015-01-01
2,0,2,16.04,38813.2625,8789.85025,21.296,0.433884,-0.900969,2,2015-01-01
3,0,3,14.6,38489.915,8928.38125,21.296,0.433884,-0.900969,3,2015-01-01
4,0,4,14.95,38643.5675,9111.654,21.296,0.433884,-0.900969,4,2015-01-01
5,0,5,14.5,38773.335,9348.945,21.296,0.433884,-0.900969,5,2015-01-01
6,0,6,10.76,37247.33,9605.83075,21.296,0.433884,-0.900969,6,2015-01-01
7,0,7,12.01,40371.385,9956.59,21.296,0.433884,-0.900969,7,2015-01-01
8,0,8,12.39,42521.965,10421.1055,21.296,0.433884,-0.900969,8,2015-01-01
9,0,9,14.04,45020.08,11359.89225,21.296,0.433884,-0.900969,9,2015-01-01
10,0,10,14.68,47101.04,12692.18675,21.296,0.433884,-0.900969,10,2015-01-01
11,0,11,16.08,49603.1675,13651.4365,21.296,0.433884,-0.900969,11,2015-01-01
12,0,12,16.08,49909.785,14119.4535,21.296,0.433884,-0.900969,12,2015-01-01
13,0,13,16.05,47527.9725,14057.96225,21.296,0.433884,-0.900969,13,2015-01-01
14,0,14,16.04,47096.76,13433.22725,21.296,0.433884,-0.900969,14,2015-01-01
15,0,15,16.1,47383.2025,12756.0895,21.296,0.433884,-0.900969,15,2015-01-01
16,0,16,23.93,48935.9125,12744.2965,21.296,0.433884,-0.900969,16,2015-01-01
17,0,17,26.9,52287.9025,13375.13375,21.296,0.433884,-0.900969,17,2015-01-01
18,0,18,26.36,53367.3275,14231.3375,21.296,0.433884,-0.900969,18,2015-01-01
19,0,19,23.98,52598.9925,15130.9475,21.296,0.433884,-0.900969,19,2015-01-01
20,0,20,16.09,50020.3425,16303.1675,21.296,0.433884,-0.900969,20,2015-01-01
21,0,21,14.08,48096.3075,17679.545,21.296,0.433884,-0.900969,21,2015-01-01
22,0,22,12.44,47803.3575,19052.72,21.296,0.433884,-0.900969,22,2015-01-01
23,0,23,0.04,44875.875,20371.215,21.296,0.433884,-0.900969,23,2015-01-01
24,1,0,-12.11,40078.2475,22953.0155,20.448,-0.433884,-0.900969,0,2015-01-02
25,1,1,-19.63,38711.4375,24709.503,20.448,-0.433884,-0.900969,1,2015-01-02
26,1,2,-19.37,37819.9275,25574.88575,20.448,-0.433884,-0.900969,2,2015-01-02
27,1,3,-31.41,37828.2375,26322.1115,20.448,-0.433884,-0.900969,3,2015-01-02
28,1,4,-46.97,38924.74,26976.1075,20.448,-0.433884,-0.900969,4,2015-01-02
29,1,5,-13.48,40502.645,27550.95575,20.448,-0.433884,-0.900969,5,2015-01-02
30,1,6,0.08,43400.2575,27871.922,20.448,-0.433884,-0.900969,6,2015-01-02
31,1,7,10.06,49039.6425,27892.58975,20.448,-0.433884,-0.900969,7,2015-01-02
32,1,8,14.25,51539.9625,27922.0685,20.448,-0.433884,-0.900969,8,2015-01-02
33,1,9,14.56,53132.8425,28184.64175,20.448,-0.433884,-0.900969,9,2015-01-02
34,1,10,14.64,54445.7575,28411.14725,20.448,-0.433884,-0.900969,10,2015-01-02
35,1,11,15.08,55685.47,28578.74075,20.448,-0.433884,-0.900969,11,2015-01-02
36,1,12,15.41,55626.61,28494.138000000003,20.448,-0.433884,-0.900969,12,2015-01-02
37,1,13,14.52,53698.095,28006.32325,20.448,-0.433884,-0.900969,13,2015-01-02
