IDX__global,IDX__step,IDX__sub_step,TARG__MGP_CNOR,FUTU__D_CNOR,FUTU__WIND_CNOR,CONST__wd_sin,CONST__wd_cos,Hour,Date
0,0,0,51.1,2747.0,30.69,0.433884,-0.900969,0,2015-01-01
1,0,1,49.0,2593.0,31.047,0.433884,-0.900969,1,2015-01-01
2,0,2,39.1,2455.0,31.663,0.433884,-0.900969,2,2015-01-01
3,0,3,35.87,2329.0,31.909,0.433884,-0.900969,3,2015-01-01
4,0,4,33.4,2215.0,30.671,0.433884,-0.900969,4,2015-01-01
5,0,5,36.57,2163.0,28.449,0.433884,-0.900969,5,2015-01-01
6,0,6,39.1,2243.0,26.988,0.433884,-0.900969,6,2015-01-01
7,0,7,45.21,2194.0,26.99,0.433884,-0.900969,7,2015-01-01
8,0,8,40.0,2112.0,27.498,0.433884,-0.900969,8,2015-01-01
9,0,9,40.8,2345.0,27.751,0.433884,-0.900969,9,2015-01-01
10,0,10,38.8,2525.0,28.596,0.433884,-0.900969,10,2015-01-01
11,0,11,38.8,2725.0,29.048,0.433884,-0.900969,11,2015-01-01
12,0,12,38.85,2701.0,29.155,0.433884,-0.900969,12,2015-01-01
13,0,13,38.8,2513.0,30.155,0.433884,-0.900969,13,2015-01-01
14,0,14,38.85,2437.0,31.572,0.433884,-0.900969,14,2015-01-01
15,0,15,49.95,2485.0,32.146,0.433884,-0.900969,15,2015-01-01
16,0,16,54.69,2572.0,29.767,0.433884,-0.900969,16,2015-01-01
17,0,17,61.9,2852.0,26.61,0.433884,-0.900969,17,2015-01-01
18,0,18,58.2,2998.0,24.559,0.433884,-0.900969,18,2015-01-01
19,0,19,57.88,3111.0,24.018,0.433884,-0.900969,19,2015-01-01
20,0,20,57.87,3005.0,24.074,0.433884,-0.900969,20,2015-01-01
21,0,21,53.63,2876.0,24.014,0.433884,-0.900969,21,2015-01-01
22,0,22,49.46,2723.0,23.243,0.433884,-0.900969,22,2015-01-01
23,0,23,43.0,2469.0,22.422,0.433884,-0.900969,23,2015-01-01
24,1,0,48.5,2367.0,20.5,-0.433884,-0.900969,0,2015-01-02
25,1,1,39.1,2186.0,18.681,-0.433884,-0.900969,1,2015-01-02
26,1,2,37.0,2094.0,17.187,-0.433884,-0.900969,2,2015-01-02
27,1,3,33.0,2032.0,16.547,-0.433884,-0.900969,3,2015-01-02
28,1,4,34.19,2019.0,16.229,-0.433884,-0.900969,4,2015-01-02
29,1,5,38.85,2122.0,16.532,-0.433884,-0.900969,5,2015-01-02
30,1,6,51.35,2375.0,16.394,-0.433884,-0.900969,6,2015-01-02
31,1,7,56.15,2668.0,15.274,-0.433884,-0.900969,7,2015-01-02
32,1,8,63.98,3009.0,13.727,-0.433884,-0.900969,8,2015-01-02
33,1,9,63.98,3423.0,12.068,-0.433884,-0.900969,9,2015-01-02
34,1,10,64.75,3699.0,9.995,-0.433884,-0.900969,10,2015-01-02
35,1,11,63.04,3758.0,7.681,-0.433884,-0.900969,11,2015-01-02
36,1,12,57.92,3681.0,6.158,-0.433884,-0.900969,12,2015-01-02
37,1,13,57.92,3572.0,5.714,-0.433884,-0.900969,13,2015-01-02
38,1,14,66.1,3518.0,5.219,-0.433884,-0.900969,14,2015-01-02
39,1,15,69.96,3619.0,5.058,-0.433884,-0.900969,15,2015-01-02
40,1,16,70.36,3738.0,4.66,-0.433884,-0.900969,16,2015-01-02
41,1,17,75.0,3830.0,4.618,-0.433884,-0.900969,17,2015-01-02
42,1,18,72.21,3813.0,4.575,-0.433884,-0.900969,18,2015-01-02
43,1,19,72.78,3755.0,4.247,-0.433884,-0.900969,19,2015-01-02
44,1,20,67.03,3400.0,4.365,-0.433884,-0.900969,20,2015-01-02
45,1,21,63.99,3189.0,5.314,-0.433884,-0.900969,21,2015-01-02
46,1,22,57.99,3019.0,5.565,-0.433884,-0.900969,22,2015-01-02
47,1,23,51.6,2758.0,5.657,-0.433884,-0.900969,23,2015-01-02
48,2,0,49.78,2350.0,6.559,-0.974928,-0.222521,0,2015-01-03
49,2,1,40.14,2145.0,7.015,-0.974928,-0.222521,1,2015-01-03
50,2,2,37.81,2006.0,7.469,-0.974928,-0.222521,2,2015-01-03
51,2,3,37.57,1955.0,8.016,-0.974928,-0.222521,3,2015-01-03
52,2,4,37.15,1970.0,10.181,-0.974928,-0.222521,4,2015-01-03
53,2,5,37.81,2066.0,10.768,-0.974928,-0.222521,5,2015-01-03
54,2,6,48.5,2230.0,11.431,-0.974928,-0.222521,6,2015-01-03
55,2,7,55.34,2512.0,11.395,-0.974928,-0.222521,7,2015-01-03
56,2,8,60.0,2618.0,11.319,-0.974928,-0.222521,8,2015-01-03
57,2,9,60.1,2881.0,11.213,-0.974928,-0.222521,9,2015-01-03
58,2,10,54.43,2902.0,11.33,-0.974928,-0.222521,10,2015-01-03
59,2,11,52.89,2999.0,12.042,-0.974928,-0.222521,11,2015-01-03
60,2,12,50.99,2878.0,13.776,-0.974928,-0.222521,12,2015-01-03
61,2,13,50.87,2762.0,17.023,-0.974928,-0.222521,13,2015-01-03
62,2,14,52.19,2853.0,20.714,-0.974928,-0.222521,14,2015-01-03
63,2,15,54.76,2875.0,23.638,-0.974928,-0.222521,15,2015-01-03
64,2,16,58.91,3099.0,25.4,-0.974928,-0.222521,16,2015-01-03
65,2,17,63.2,3406.0,27.155,-0.974928,-0.222521,17,2015-01-03
66,2,18,58.77,3476.0,28.996,-0.974928,-0.222521,18,2015-01-03
67,2,19,58.71,3543.0,30.632,-0.974928,-0.222521,19,2015-01-03
68,2,20,56.19,3314.0,30.977,-0.974928,-0.222521,20,2015-01-03
69,2,21,48.99,3032.0,30.357,-0.974928,-0.222521,21,2015-01-03
70,2,22,41.4,2784.0,29.243,-0.974928,-0.222521,22,2015-01-03
71,2,23,39.1,2615.0,27.517,-0.974928,-0.222521,23,2015-01-03
72,3,0,38.85,2321.0,27.483,-0.781831,0.62349,0,2015-01-04
73,3,1,34.43,2130.0,26.833,-0.781831,0.62349,1,2015-01-04
74,3,2,27.0,1995.0,26.738,-0.781831,0.62349,2,2015-01-04
75,3,3,19.4,1963.0,21.607,-0.781831,0.62349,3,2015-01-04
76,3,4,18.0,1922.0,25.558,-0.781831,0.62349,4,2015-01-04
77,3,5,21.0,1991.0,25.479,-0.781831,0.62349,5,2015-01-04
78,3,6,38.51,2121.0,24.639,-0.781831,0.62349,6,2015-01-04
79,3,7,44.56,2316.0,22.584,-0.781831,0.62349,7,2015-01-04
