IDX__global,IDX__step,IDX__sub_step,TARG__MGP_CSUD,FUTU__D_CSUD,FUTU__WIND_CSUD,CONST__wd_sin,CONST__wd_cos,Hour,Date
0,0,0,51.1,4682,786.935,0.433884,-0.900969,0,2015-01-01
1,0,1,49.0,4356,782.085,0.433884,-0.900969,1,2015-01-01
2,0,2,39.1,3983,778.342,0.433884,-0.900969,2,2015-01-01
3,0,3,35.87,3694,781.54,0.433884,-0.900969,3,2015-01-01
4,0,4,33.4,3568,774.73,0.433884,-0.900969,4,2015-01-01
5,0,5,36.57,3518,738.894,0.433884,-0.900969,5,2015-01-01
6,0,6,39.1,3523,694.016,0.433884,-0.900969,6,2015-01-01
7,0,7,45.21,3727,655.624,0.433884,-0.900969,7,2015-01-01
8,0,8,40.0,4086,630.988,0.433884,-0.900969,8,2015-01-01
9,0,9,40.8,4514,620.648,0.433884,-0.900969,9,2015-01-01
10,0,10,38.8,4497,640.256,0.433884,-0.900969,10,2015-01-01
11,0,11,38.8,4851,655.637,0.433884,-0.900969,11,2015-01-01
12,0,12,38.85,5110,652.416,0.433884,-0.900969,12,2015-01-01
13,0,13,38.8,4896,650.28,0.433884,-0.900969,13,2015-01-01
14,0,14,38.85,4442,641.848,0.433884,-0.900969,14,2015-01-01
15,0,15,49.95,4359,606.412,0.433884,-0.900969,15,2015-01-01
16,0,16,54.69,4726,540.395,0.433884,-0.900969,16,2015-01-01
17,0,17,61.9,5262,494.027,0.433884,-0.900969,17,2015-01-01
18,0,18,58.2,5462,468.412,0.433884,-0.900969,18,2015-01-01
19,0,19,57.88,5628,442.275,0.433884,-0.900969,19,2015-01-01
20,0,20,57.87,5691,419.344,0.433884,-0.900969,20,2015-01-01
21,0,21,53.63,5680,403.166,0.433884,-0.900969,21,2015-01-01
22,0,22,49.46,5400,396.054,0.433884,-0.900969,22,2015-01-01
23,0,23,43.0,5013,388.627,0.433884,-0.900969,23,2015-01-01
24,1,0,48.5,4054,380.11,-0.433884,-0.900969,0,2015-01-02
25,1,1,39.1,3597,378.689,-0.433884,-0.900969,1,2015-01-02
26,1,2,37.0,3418,377.769,-0.433884,-0.900969,2,2015-01-02
27,1,3,33.0,3331,385.618,-0.433884,-0.900969,3,2015-01-02
28,1,4,34.19,3357,384.629,-0.433884,-0.900969,4,2015-01-02
29,1,5,38.85,3494,450.341,-0.433884,-0.900969,5,2015-01-02
30,1,6,51.35,3888,439.255,-0.433884,-0.900969,6,2015-01-02
31,1,7,56.15,4339,430.049,-0.433884,-0.900969,7,2015-01-02
32,1,8,63.98,5122,423.871,-0.433884,-0.900969,8,2015-01-02
33,1,9,63.98,5898,403.989,-0.433884,-0.900969,9,2015-01-02
34,1,10,64.75,6411,354.493,-0.433884,-0.900969,10,2015-01-02
35,1,11,63.04,6730,285.013,-0.433884,-0.900969,11,2015-01-02
36,1,12,57.92,6821,223.571,-0.433884,-0.900969,12,2015-01-02
37,1,13,57.92,6676,151.813,-0.433884,-0.900969,13,2015-01-02
38,1,14,66.1,7326,100.827,-0.433884,-0.900969,14,2015-01-02
39,1,15,69.96,7662,72.853,-0.433884,-0.900969,15,2015-01-02
40,1,16,70.36,7587,49.015,-0.433884,-0.900969,16,2015-01-02
41,1,17,75.0,7498,64.034,-0.433884,-0.900969,17,2015-01-02
42,1,18,72.21,7428,69.116,-0.433884,-0.900969,18,2015-01-02
43,1,19,72.78,7379,64.388,-0.433884,-0.900969,19,2015-01-02
44,1,20,67.03,6996,41.709,-0.433884,-0.900969,20,2015-01-02
45,1,21,63.99,6523,52.17,-0.433884,-0.900969,21,2015-01-02
46,1,22,57.99,6066,48.654,-0.433884,-0.900969,22,2015-01-02
47,1,23,51.6,5636,58.533,-0.433884,-0.900969,23,2015-01-02
48,2,0,49.78,4442,103.616,-0.974928,-0.222521,0,2015-01-03
49,2,1,40.14,4030,112.153,-0.974928,-0.222521,1,2015-01-03
50,2,2,37.81,3660,118.223,-0.974928,-0.222521,2,2015-01-03
51,2,3,37.57,3508,131.34,-0.974928,-0.222521,3,2015-01-03
52,2,4,37.15,3383,140.419,-0.974928,-0.222521,4,2015-01-03
53,2,5,37.81,3473,164.445,-0.974928,-0.222521,5,2015-01-03
54,2,6,48.5,3780,177.159,-0.974928,-0.222521,6,2015-01-03
55,2,7,55.34,4197,171.362,-0.974928,-0.222521,7,2015-01-03
56,2,8,60.0,4595,172.393,-0.974928,-0.222521,8,2015-01-03
57,2,9,60.1,5197,178.042,-0.974928,-0.222521,9,2015-01-03
58,2,10,54.43,5527,192.468,-0.974928,-0.222521,10,2015-01-03
