IDX__global,IDX__step,IDX__sub_step,TARG__MGP_NORD,FUTU__D_NORD,FUTU__WIND_NORD,CONST__wd_sin,CONST__wd_cos,Hour,Date
0,0,0,51.1,11666.0,11.314,0.433884,-0.900969,0,2015-01-01
1,0,1,49.0,11138.0,11.353,0.433884,-0.900969,1,2015-01-01
2,0,2,39.1,10564.0,11.374,0.433884,-0.900969,2,2015-01-01
3,0,3,35.87,9999.0,11.285,0.433884,-0.900969,3,2015-01-01
4,0,4,33.4,9711.0,10.728,0.433884,-0.900969,4,2015-01-01
5,0,5,36.57,9891.0,9.867,0.433884,-0.900969,5,2015-01-01
6,0,6,39.1,10500.0,9.089,0.433884,-0.900969,6,2015-01-01
7,0,7,45.21,10723.0,8.623,0.433884,-0.900969,7,2015-01-01
8,0,8,40.0,10328.0,8.315,0.433884,-0.900969,8,2015-01-01
9,0,9,40.8,11079.0,8.149,0.433884,-0.900969,9,2015-01-01
10,0,10,38.8,12500.0,8.364,0.433884,-0.900969,10,2015-01-01
11,0,11,38.8,13407.0,8.603,0.433884,-0.900969,11,2015-01-01
12,0,12,38.85,13280.0,8.671,0.433884,-0.900969,12,2015-01-01
13,0,13,38.8,12378.0,8.901,0.433884,-0.900969,13,2015-01-01
14,0,14,38.85,11805.0,9.216,0.433884,-0.900969,14,2015-01-01
15,0,15,49.95,11713.0,9.272,0.433884,-0.900969,15,2015-01-01
16,0,16,54.69,12611.0,8.595,0.433884,-0.900969,16,2015-01-01
17,0,17,61.9,14458.0,7.944,0.433884,-0.900969,17,2015-01-01
18,0,18,58.2,15315.0,7.539,0.433884,-0.900969,18,2015-01-01
19,0,19,54.44,15322.0,7.337,0.433884,-0.900969,19,2015-01-01
20,0,20,52.22,14858.0,7.254,0.433884,-0.900969,20,2015-01-01
21,0,21,50.12,14038.0,7.15,0.433884,-0.900969,21,2015-01-01
22,0,22,46.0,12882.0,6.928,0.433884,-0.900969,22,2015-01-01
23,0,23,43.0,11490.0,6.651,0.433884,-0.900969,23,2015-01-01
24,1,0,48.5,10859.0,6.658,-0.433884,-0.900969,0,2015-01-02
25,1,1,39.1,10057.0,6.313,-0.433884,-0.900969,1,2015-01-02
26,1,2,37.0,9688.0,6.093,-0.433884,-0.900969,2,2015-01-02
27,1,3,33.0,9610.0,5.981,-0.433884,-0.900969,3,2015-01-02
28,1,4,34.19,9789.0,5.845,-0.433884,-0.900969,4,2015-01-02
29,1,5,38.85,10458.0,5.889,-0.433884,-0.900969,5,2015-01-02
30,1,6,51.35,11988.0,5.814,-0.433884,-0.900969,6,2015-01-02
31,1,7,56.15,13465.0,5.58,-0.433884,-0.900969,7,2015-01-02
32,1,8,63.98,14519.0,5.213,-0.433884,-0.900969,8,2015-01-02
33,1,9,63.98,15876.0,4.781,-0.433884,-0.900969,9,2015-01-02
34,1,10,64.75,16215.0,4.007,-0.433884,-0.900969,10,2015-01-02
35,1,11,63.04,16340.0,3.058,-0.433884,-0.900969,11,2015-01-02
36,1,12,57.92,15739.0,2.425,-0.433884,-0.900969,12,2015-01-02
37,1,13,57.92,15489.0,2.127,-0.433884,-0.900969,13,2015-01-02
38,1,14,66.1,14952.0,1.874,-0.433884,-0.900969,14,2015-01-02
39,1,15,69.96,15203.0,1.829,-0.433884,-0.900969,15,2015-01-02
40,1,16,70.36,17207.0,1.799,-0.433884,-0.900969,16,2015-01-02
41,1,17,75.0,19894.0,2.054,-0.433884,-0.900969,17,2015-01-02
42,1,18,65.0,20018.0,2.159,-0.433884,-0.900969,18,2015-01-02
43,1,19,57.0,19211.0,2.078,-0.433884,-0.900969,19,2015-01-02
44,1,20,54.0,17904.0,1.938,-0.433884,-0.900969,20,2015-01-02
45,1,21,51.0,16581.0,2.192,-0.433884,-0.900969,21,2015-01-02
46,1,22,51.75,15246.0,2.438,-0.433884,-0.900969,22,2015-01-02
47,1,23,51.6,13788.0,2.738,-0.433884,-0.900969,23,2015-01-02
48,2,0,49.78,11604.0,3.66,-0.974928,-0.222521,0,2015-01-03
49,2,1,40.14,10633.0,3.959,-0.974928,-0.222521,1,2015-01-03
50,2,2,37.81,10170.0,4.259,-0.974928,-0.222521,2,2015-01-03
51,2,3,37.57,9951.0,4.578,-0.974928,-0.222521,3,2015-01-03
52,2,4,37.15,9878.0,5.015,-0.974928,-0.222521,4,2015-01-03
53,2,5,37.81,10259.0,5.213,-0.974928,-0.222521,5,2015-01-03
54,2,6,48.5,11179.0,5.423,-0.974928,-0.222521,6,2015-01-03
55,2,7,55.34,12340.0,5.387,-0.974928,-0.222521,7,2015-01-03
56,2,8,60.0,13486.0,5.429,-0.974928,-0.222521,8,2015-01-03
57,2,9,60.1,14575.0,5.498,-0.974928,-0.222521,9,2015-01-03
58,2,10,54.43,14906.0,5.742,-0.974928,-0.222521,10,2015-01-03
59,2,11,52.89,14979.0,6.209,-0.974928,-0.222521,11,2015-01-03
60,2,12,50.99,14624.0,6.81,-0.974928,-0.222521,12,2015-01-03
61,2,13,50.87,14083.0,7.574,-0.974928,-0.222521,13,2015-01-03
62,2,14,52.19,14071.0,8.317,-0.974928,-0.222521,14,2015-01-03
63,2,15,54.76,14101.0,8.946,-0.974928,-0.222521,15,2015-01-03
64,2,16,58.91,15021.0,9.524,-0.974928,-0.222521,16,2015-01-03
65,2,17,63.2,16973.0,10.301,-0.974928,-0.222521,17,2015-01-03
66,2,18,55.86,17644.0,11.136,-0.974928,-0.222521,18,2015-01-03
67,2,19,50.24,17574.0,12.033,-0.974928,-0.222521,19,2015-01-03
68,2,20,47.54,16276.0,12.515,-0.974928,-0.222521,20,2015-01-03
69,2,21,42.14,15122.0,12.627,-0.974928,-0.222521,21,2015-01-03
70,2,22,41.4,13721.0,12.493,-0.974928,-0.222521,22,2015-01-03
71,2,23,39.1,12260.0,12.176,-0.974928,-0.222521,23,2015-01-03
72,3,0,38.85,11183.0,12.647,-0.781831,0.62349,0,2015-01-04
73,3,1,34.43,10321.0,12.284,-0.781831,0.62349,1,2015-01-04
74,3,2,27.0,9793.0,11.855,-0.781831,0.62349,2,2015-01-04
75,3,3,19.4,9663.0,10.738,-0.781831,0.62349,3,2015-01-04
76,3,4,18.0,9679.0,10.632,-0.781831,0.62349,4,2015-01-04
77,3,5,21.0,9910.0,9.963,-0.781831,0.62349,5,2015-01-04
78,3,6,38.51,10552.0,9.244,-0.781831,0.62349,6,2015-01-04
79,3,7,44.56,11545.0,8.547,-0.781831,0.62349,7,2015-01-04
80,3,8,50.0,11942.0,8.118,-0.781831,0.62349,8,2015-01-04
81,3,9,52.65,13211.0,7.467,-0.781831,0.62349,9,2015-01-04
82,3,10,51.15,14021.0,7.55,-0.781831,0.62349,10,2015-01-04
83,3,11,49.78,14724.0,8.282,-0.781831,0.62349,11,2015-01-04
84,3,12,45.66,14765.0,9.257,-0.781831,0.62349,12,2015-01-04
85,3,13,40.14,14107.0,10.133,-0.781831,0.62349,13,2015-01-04
86,3,14,39.1,13725.0,10.842,-0.781831,0.62349,14,2015-01-04
87,3,15,49.3,13369.0,10.955,-0.781831,0.62349,15,2015-01-04
88,3,16,53.79,13787.0,10.297,-0.781831,0.62349,16,2015-01-04
89,3,17,63.74,16563.0,9.196,-0.781831,0.62349,17,2015-01-04
90,3,18,54.48,17599.0,8.353,-0.781831,0.62349,18,2015-01-04
91,3,19,55.68,17700.0,8.064,-0.781831,0.62349,19,2015-01-04
92,3,20,55.29,16765.0,7.882,-0.781831,0.62349,20,2015-01-04
93,3,21,53.93,15877.0,7.927,-0.781831,0.62349,21,2015-01-04
94,3,22,49.1,14409.0,8.034,-0.781831,0.62349,22,2015-01-04
95,3,23,45.61,13058.0,8.236,-0.781831,0.62349,23,2015-01-04
96,4,0,47.72,11083.0,6.694,0.0,1.0,0,2015-01-05
97,4,1,39.1,10284.0,6.643,0.0,1.0,1,2015-01-05
98,4,2,35.21,9996.0,6.579,0.0,1.0,2,2015-01-05
99,4,3,32.43,9861.0,6.585,0.0,1.0,3,2015-01-05
100,4,4,33.15,9946.0,6.691,0.0,1.0,4,2015-01-05
101,4,5,38.85,10727.0,6.699,0.0,1.0,5,2015-01-05
102,4,6,48.89,12587.0,6.751,0.0,1.0,6,2015-01-05
103,4,7,60.03,14542.0,6.896,0.0,1.0,7,2015-01-05
104,4,8,63.98,15931.0,7.129,0.0,1.0,8,2015-01-05
105,4,9,64.5,17199.0,7.453,0.0,1.0,9,2015-01-05
106,4,10,55.49,17290.0,7.99,0.0,1.0,10,2015-01-05
107,4,11,53.5,17591.0,8.328,0.0,1.0,11,2015-01-05
108,4,12,51.0,17082.0,8.526,0.0,1.0,12,2015-01-05
109,4,13,50.39,16560.0,8.238,0.0,1.0,13,2015-01-05
110,4,14,54.45,16718.0,7.195,0.0,1.0,14,2015-01-05
111,4,15,64.0,16891.0,6.589,0.0,1.0,15,2015-01-05
112,4,16,64.25,17575.0,5.972,0.0,1.0,16,2015-01-05
113,4,17,68.64,19924.0,5.466,0.0,1.0,17,2015-01-05
114,4,18,67.0,20151.0,4.882,0.0,1.0,18,2015-01-05
115,4,19,61.5,19612.0,4.37,0.0,1.0,19,2015-01-05
116,4,20,55.95,18226.0,3.572,0.0,1.0,20,2015-01-05
117,4,21,50.26,16895.0,3.063,0.0,1.0,21,2015-01-05
118,4,22,50.53,14902.0,3.497,0.0,1.0,22,2015-01-05
119,4,23,51.0,13273.0,3.809,0.0,1.0,23,2015-01-05
120,5,0,49.78,12270.0,5.611,0.781831,0.62349,0,2015-01-06
121,5,1,45.21,11547.0,6.572,0.781831,0.62349,1,2015-01-06
122,5,2,38.8,11057.0,7.195,0.781831,0.62349,2,2015-01-06
123,5,3,35.0,10797.0,7.398,0.781831,0.62349,3,2015-01-06
124,5,4,33.43,10679.0,7.371,0.781831,0.62349,4,2015-01-06
125,5,5,37.58,10994.0,7.066,0.781831,0.62349,5,2015-01-06
126,5,6,43.5,11799.0,6.132,0.781831,0.62349,6,2015-01-06
127,5,7,52.0,12691.0,5.612,0.781831,0.62349,7,2015-01-06
128,5,8,52.0,13236.0,4.967,0.781831,0.62349,8,2015-01-06
129,5,9,51.04,13991.0,4.379,0.781831,0.62349,9,2015-01-06
130,5,10,50.28,14668.0,3.95,0.781831,0.62349,10,2015-01-06
131,5,11,49.1,15349.0,3.758,0.781831,0.62349,11,2015-01-06
132,5,12,47.97,15222.0,3.486,0.781831,0.62349,12,2015-01-06
133,5,13,45.11,14419.0,3.061,0.781831,0.62349,13,2015-01-06
134,5,14,45.44,14343.0,2.593,0.781831,0.62349,14,2015-01-06
135,5,15,52.49,14320.0,2.113,0.781831,0.62349,15,2015-01-06
136,5,16,57.89,14641.0,1.739,0.781831,0.62349,16,2015-01-06
137,5,17,63.98,16812.0,1.42,0.781831,0.62349,17,2015-01-06
138,5,18,61.1,17629.0,1.201,0.781831,0.62349,18,2015-01-06
139,5,19,59.17,17588.0,1.064,0.781831,0.62349,19,2015-01-06
140,5,20,55.0,16782.0,1.0,0.781831,0.62349,20,2015-01-06
141,5,21,50.0,15846.0,0.928,0.781831,0.62349,21,2015-01-06
142,5,22,50.27,14576.0,0.83,0.781831,0.62349,22,2015-01-06
143,5,23,49.1,13242.0,0.789,0.781831,0.62349,23,2015-01-06
144,6,0,49.92,11531.0,0.867,0.974928,-0.222521,0,2015-01-07
145,6,1,45.5,10665.0,0.85,0.974928,-0.222521,1,2015-01-07
146,6,2,45.0,10327.0,0.887,0.974928,-0.222521,2,2015-01-07
147,6,3,41.85,10158.0,0.962,0.974928,-0.222521,3,2015-01-07
148,6,4,41.85,10290.0,0.994,0.974928,-0.222521,4,2015-01-07
149,6,5,44.32,11223.0,0.979,0.974928,-0.222521,5,2015-01-07
150,6,6,51.96,14181.0,0.968,0.974928,-0.222521,6,2015-01-07
151,6,7,57.33,17848.0,0.947,0.974928,-0.222521,7,2015-01-07
152,6,8,69.69,20409.0,0.919,0.974928,-0.222521,8,2015-01-07
153,6,9,70.95,22033.0,0.965,0.974928,-0.222521,9,2015-01-07
154,6,10,66.4,22433.0,0.996,0.974928,-0.222521,10,2015-01-07
155,6,11,63.98,23081.0,1.166,0.974928,-0.222521,11,2015-01-07
156,6,12,54.99,21779.0,1.343,0.974928,-0.222521,12,2015-01-07
157,6,13,52.62,21033.0,1.425,0.974928,-0.222521,13,2015-01-07
158,6,14,64.342233,21490.0,1.429,0.974928,-0.222521,14,2015-01-07
159,6,15,65.0,21734.0,1.363,0.974928,-0.222521,15,2015-01-07
160,6,16,65.02,22349.0,1.29,0.974928,-0.222521,16,2015-01-07
161,6,17,65.21,23473.0,1.234,0.974928,-0.222521,17,2015-01-07
162,6,18,63.0,22565.0,1.194,0.974928,-0.222521,18,2015-01-07
163,6,19,58.23,21530.0,1.16,0.974928,-0.222521,19,2015-01-07
164,6,20,52.1,20008.0,1.107,0.974928,-0.222521,20,2015-01-07
165,6,21,50.55,18304.0,1.035,0.974928,-0.222521,21,2015-01-07
166,6,22,49.78,15877.0,0.96,0.974928,-0.222521,22,2015-01-07
167,6,23,49.78,14091.0,0.913,0.974928,-0.222521,23,2015-01-07
168,7,0,46.481837,13220.0,1.746,0.433884,-0.900969,0,2015-01-08
169,7,1,40.85,12354.0,1.653,0.433884,-0.900969,1,2015-01-08
170,7,2,40.03,11842.0,1.596,0.433884,-0.900969,2,2015-01-08
171,7,3,38.85,11515.0,1.507,0.433884,-0.900969,3,2015-01-08
172,7,4,39.1,11546.0,1.468,0.433884,-0.900969,4,2015-01-08
173,7,5,44.41,12294.0,1.432,0.433884,-0.900969,5,2015-01-08
174,7,6,60.0,14849.0,1.444,0.433884,-0.900969,6,2015-01-08
175,7,7,65.66,18429.0,1.281,0.433884,-0.900969,7,2015-01-08
176,7,8,78.24,21188.0,1.094,0.433884,-0.900969,8,2015-01-08
177,7,9,76.0,22496.0,1.028,0.433884,-0.900969,9,2015-01-08
178,7,10,71.35,22869.0,1.164,0.433884,-0.900969,10,2015-01-08
179,7,11,66.95,22873.0,1.378,0.433884,-0.900969,11,2015-01-08
180,7,12,57.75,20542.0,1.616,0.433884,-0.900969,12,2015-01-08
181,7,13,57.89,20015.0,1.793,0.433884,-0.900969,13,2015-01-08
182,7,14,65.15,20480.0,1.975,0.433884,-0.900969,14,2015-01-08
183,7,15,65.0,20428.0,2.132,0.433884,-0.900969,15,2015-01-08
184,7,16,65.99,21608.0,2.337,0.433884,-0.900969,16,2015-01-08
185,7,17,67.08,23012.0,2.509,0.433884,-0.900969,17,2015-01-08
186,7,18,64.0,22715.0,2.919,0.433884,-0.900969,18,2015-01-08
187,7,19,62.0,21768.0,3.237,0.433884,-0.900969,19,2015-01-08
188,7,20,57.2,20170.0,3.59,0.433884,-0.900969,20,2015-01-08
189,7,21,51.01,18500.0,4.048,0.433884,-0.900969,21,2015-01-08
190,7,22,50.26,16413.0,4.636,0.433884,-0.900969,22,2015-01-08
191,7,23,48.9,14710.0,5.436,0.433884,-0.900969,23,2015-01-08
192,8,0,44.89,13810.0,5.29,-0.433884,-0.900969,0,2015-01-09
193,8,1,41.1,13043.0,5.88,-0.433884,-0.900969,1,2015-01-09
194,8,2,40.8,12495.0,6.222,-0.433884,-0.900969,2,2015-01-09
195,8,3,40.03,12265.0,6.784,-0.433884,-0.900969,3,2015-01-09
196,8,4,40.8,12324.0,6.728,-0.433884,-0.900969,4,2015-01-09
197,8,5,46.21,13284.0,6.45,-0.433884,-0.900969,5,2015-01-09
198,8,6,52.04,16624.0,6.083,-0.433884,-0.900969,6,2015-01-09
199,8,7,60.03,21167.0,5.552,-0.433884,-0.900969,7,2015-01-09
200,8,8,69.65,24103.0,4.927,-0.433884,-0.900969,8,2015-01-09
201,8,9,71.94,25171.0,4.542,-0.433884,-0.900969,9,2015-01-09
202,8,10,65.394986,25178.0,4.313,-0.433884,-0.900969,10,2015-01-09
203,8,11,63.98,25097.0,3.95,-0.433884,-0.900969,11,2015-01-09
204,8,12,52.44,22590.0,3.51,-0.433884,-0.900969,12,2015-01-09
205,8,13,51.05,22591.0,3.281,-0.433884,-0.900969,13,2015-01-09
206,8,14,54.45,22482.0,3.527,-0.433884,-0.900969,14,2015-01-09
207,8,15,58.0,22417.0,3.88,-0.433884,-0.900969,15,2015-01-09
208,8,16,61.0,23498.0,4.475,-0.433884,-0.900969,16,2015-01-09
