IDX__global,IDX__step,IDX__sub_step,TARG__MGP_SARD,FUTU__D_SARD,FUTU__WIND_SARD,CONST__wd_sin,CONST__wd_cos,Hour,Date
0,0,0,51.1,886.0,433.402,0.433884,-0.900969,0,2015-01-01
1,0,1,49.0,847.0,425.273,0.433884,-0.900969,1,2015-01-01
2,0,2,39.1,811.0,403.009,0.433884,-0.900969,2,2015-01-01
3,0,3,35.87,784.0,376.33,0.433884,-0.900969,3,2015-01-01
4,0,4,33.4,767.0,342.198,0.433884,-0.900969,4,2015-01-01
5,0,5,36.57,771.0,302.842,0.433884,-0.900969,5,2015-01-01
6,0,6,39.1,789.0,254.949,0.433884,-0.900969,6,2015-01-01
7,0,7,45.21,835.0,206.382,0.433884,-0.900969,7,2015-01-01
8,0,8,40.0,848.0,168.298,0.433884,-0.900969,8,2015-01-01
9,0,9,40.8,950.0,140.446,0.433884,-0.900969,9,2015-01-01
10,0,10,38.8,975.0,140.374,0.433884,-0.900969,10,2015-01-01
11,0,11,38.8,1005.0,154.188,0.433884,-0.900969,11,2015-01-01
12,0,12,38.85,1011.0,173.615,0.433884,-0.900969,12,2015-01-01
13,0,13,38.8,940.0,192.202,0.433884,-0.900969,13,2015-01-01
14,0,14,38.85,874.0,211.916,0.433884,-0.900969,14,2015-01-01
15,0,15,49.95,879.0,228.606,0.433884,-0.900969,15,2015-01-01
16,0,16,54.69,903.0,219.823,0.433884,-0.900969,16,2015-01-01
17,0,17,61.9,990.0,209.21,0.433884,-0.900969,17,2015-01-01
18,0,18,58.2,1018.0,205.032,0.433884,-0.900969,18,2015-01-01
19,0,19,57.88,1037.0,203.817,0.433884,-0.900969,19,2015-01-01
20,0,20,57.87,1045.0,199.915,0.433884,-0.900969,20,2015-01-01
21,0,21,53.63,1011.0,190.297,0.433884,-0.900969,21,2015-01-01
22,0,22,49.46,957.0,180.507,0.433884,-0.900969,22,2015-01-01
23,0,23,43.0,886.0,165.707,0.433884,-0.900969,23,2015-01-01
24,1,0,48.5,850.0,178.723,-0.433884,-0.900969,0,2015-01-02
25,1,1,39.1,792.0,166.249,-0.433884,-0.900969,1,2015-01-02
26,1,2,37.0,772.0,159.02,-0.433884,-0.900969,2,2015-01-02
27,1,3,33.0,762.0,150.789,-0.433884,-0.900969,3,2015-01-02
28,1,4,34.19,767.0,142.053,-0.433884,-0.900969,4,2015-01-02
29,1,5,38.85,805.0,136.563,-0.433884,-0.900969,5,2015-01-02
30,1,6,51.35,881.0,127.335,-0.433884,-0.900969,6,2015-01-02
31,1,7,56.15,986.0,105.786,-0.433884,-0.900969,7,2015-01-02
32,1,8,63.98,1091.0,82.199,-0.433884,-0.900969,8,2015-01-02
33,1,9,63.98,1188.0,58.634,-0.433884,-0.900969,9,2015-01-02
34,1,10,64.75,1235.0,34.445,-0.433884,-0.900969,10,2015-01-02
35,1,11,63.04,1230.0,12.898,-0.433884,-0.900969,11,2015-01-02
36,1,12,57.92,1274.0,5.674,-0.433884,-0.900969,12,2015-01-02
37,1,13,57.92,1230.0,14.307,-0.433884,-0.900969,13,2015-01-02
38,1,14,66.1,1153.0,27.922,-0.433884,-0.900969,14,2015-01-02
39,1,15,69.96,1137.0,46.123,-0.433884,-0.900969,15,2015-01-02
40,1,16,70.36,1169.0,67.976,-0.433884,-0.900969,16,2015-01-02
41,1,17,75.0,1210.0,89.649,-0.433884,-0.900969,17,2015-01-02
42,1,18,72.21,1203.0,103.093,-0.433884,-0.900969,18,2015-01-02
43,1,19,72.78,1220.0,108.67,-0.433884,-0.900969,19,2015-01-02
44,1,20,67.03,1197.0,113.937,-0.433884,-0.900969,20,2015-01-02
45,1,21,63.99,1126.0,130.828,-0.433884,-0.900969,21,2015-01-02
46,1,22,57.99,1051.0,160.52,-0.433884,-0.900969,22,2015-01-02
47,1,23,51.6,968.0,198.079,-0.433884,-0.900969,23,2015-01-02
48,2,0,49.78,862.0,282.535,-0.974928,-0.222521,0,2015-01-03
49,2,1,40.14,809.0,308.304,-0.974928,-0.222521,1,2015-01-03
50,2,2,37.81,773.0,335.471,-0.974928,-0.222521,2,2015-01-03
51,2,3,37.57,768.0,358.655,-0.974928,-0.222521,3,2015-01-03
52,2,4,37.15,773.0,375.458,-0.974928,-0.222521,4,2015-01-03
53,2,5,37.81,784.0,385.595,-0.974928,-0.222521,5,2015-01-03
54,2,6,48.5,822.0,399.205,-0.974928,-0.222521,6,2015-01-03
55,2,7,55.34,871.0,414.555,-0.974928,-0.222521,7,2015-01-03
56,2,8,60.0,956.0,433.194,-0.974928,-0.222521,8,2015-01-03
57,2,9,60.1,1035.0,452.944,-0.974928,-0.222521,9,2015-01-03
58,2,10,54.43,1043.0,478.227,-0.974928,-0.222521,10,2015-01-03
59,2,11,52.89,982.0,508.302,-0.974928,-0.222521,11,2015-01-03
60,2,12,50.99,924.0,535.473,-0.974928,-0.222521,12,2015-01-03
61,2,13,50.87,930.0,550.666,-0.974928,-0.222521,13,2015-01-03
62,2,14,52.19,929.0,555.064,-0.974928,-0.222521,14,2015-01-03
63,2,15,54.76,925.0,554.021,-0.974928,-0.222521,15,2015-01-03
64,2,16,58.91,968.0,560.688,-0.974928,-0.222521,16,2015-01-03
65,2,17,63.2,1074.0,577.308,-0.974928,-0.222521,17,2015-01-03
66,2,18,58.77,1122.0,596.659,-0.974928,-0.222521,18,2015-01-03
67,2,19,58.71,1120.0,620.915,-0.974928,-0.222521,19,2015-01-03
68,2,20,56.19,1102.0,642.039,-0.974928,-0.222521,20,2015-01-03
69,2,21,48.99,1024.0,657.215,-0.974928,-0.222521,21,2015-01-03
70,2,22,41.4,967.0,677.257,-0.974928,-0.222521,22,2015-01-03
71,2,23,39.1,888.0,704.812,-0.974928,-0.222521,23,2015-01-03
72,3,0,38.85,831.0,744.087,-0.781831,0.62349,0,2015-01-04
73,3,1,34.43,759.0,743.686,-0.781831,0.62349,1,2015-01-04
74,3,2,27.0,717.0,727.432,-0.781831,0.62349,2,2015-01-04
75,3,3,19.4,721.0,698.638,-0.781831,0.62349,3,2015-01-04
76,3,4,18.0,734.0,677.358,-0.781831,0.62349,4,2015-01-04
77,3,5,21.0,746.0,652.451,-0.781831,0.62349,5,2015-01-04
78,3,6,38.51,797.0,632.537,-0.781831,0.62349,6,2015-01-04
79,3,7,44.56,845.0,622.252,-0.781831,0.62349,7,2015-01-04
80,3,8,50.0,904.0,621.789,-0.781831,0.62349,8,2015-01-04
81,3,9,52.65,980.0,629.831,-0.781831,0.62349,9,2015-01-04
82,3,10,51.15,1009.0,665.615,-0.781831,0.62349,10,2015-01-04
83,3,11,49.78,1055.0,706.399,-0.781831,0.62349,11,2015-01-04
84,3,12,45.66,1091.0,729.767,-0.781831,0.62349,12,2015-01-04
85,3,13,40.14,1057.0,723.918,-0.781831,0.62349,13,2015-01-04
86,3,14,39.1,1001.0,695.611,-0.781831,0.62349,14,2015-01-04
87,3,15,49.3,953.0,639.045,-0.781831,0.62349,15,2015-01-04
88,3,16,53.79,966.0,541.968,-0.781831,0.62349,16,2015-01-04
89,3,17,63.74,1066.0,405.731,-0.781831,0.62349,17,2015-01-04
90,3,18,61.99,1130.0,296.174,-0.781831,0.62349,18,2015-01-04
91,3,19,64.0,1155.0,226.824,-0.781831,0.62349,19,2015-01-04
92,3,20,64.0,1170.0,179.392,-0.781831,0.62349,20,2015-01-04
93,3,21,53.93,1114.0,161.404,-0.781831,0.62349,21,2015-01-04
94,3,22,49.1,1018.0,164.467,-0.781831,0.62349,22,2015-01-04
95,3,23,45.61,951.0,183.743,-0.781831,0.62349,23,2015-01-04
96,4,0,47.72,824.0,117.982,0.0,1.0,0,2015-01-05
97,4,1,39.1,762.0,120.188,0.0,1.0,1,2015-01-05
98,4,2,35.21,735.0,119.877,0.0,1.0,2,2015-01-05
99,4,3,32.43,722.0,114.48,0.0,1.0,3,2015-01-05
100,4,4,33.15,719.0,101.994,0.0,1.0,4,2015-01-05
101,4,5,38.85,750.0,86.492,0.0,1.0,5,2015-01-05
102,4,6,48.89,833.0,79.345,0.0,1.0,6,2015-01-05
103,4,7,60.03,948.0,91.475,0.0,1.0,7,2015-01-05
104,4,8,63.98,1069.0,110.104,0.0,1.0,8,2015-01-05
105,4,9,64.5,1123.0,120.73,0.0,1.0,9,2015-01-05
106,4,10,55.49,1150.0,132.74,0.0,1.0,10,2015-01-05
107,4,11,53.5,1127.0,140.224,0.0,1.0,11,2015-01-05
108,4,12,51.0,1188.0,139.437,0.0,1.0,12,2015-01-05
109,4,13,50.39,1148.0,131.426,0.0,1.0,13,2015-01-05
110,4,14,54.45,1095.0,116.296,0.0,1.0,14,2015-01-05
111,4,15,64.0,1085.0,103.384,0.0,1.0,15,2015-01-05
112,4,16,64.25,1112.0,94.152,0.0,1.0,16,2015-01-05
113,4,17,68.64,1238.0,94.724,0.0,1.0,17,2015-01-05
114,4,18,67.0,1317.0,96.53,0.0,1.0,18,2015-01-05
115,4,19,65.26,1340.0,109.946,0.0,1.0,19,2015-01-05
116,4,20,64.0,1305.0,103.478,0.0,1.0,20,2015-01-05
117,4,21,58.0,1185.0,103.521,0.0,1.0,21,2015-01-05
118,4,22,52.1,1100.0,106.127,0.0,1.0,22,2015-01-05
119,4,23,51.0,1010.0,107.435,0.0,1.0,23,2015-01-05
120,5,0,49.78,939.0,189.651,0.781831,0.62349,0,2015-01-06
121,5,1,45.21,877.0,204.699,0.781831,0.62349,1,2015-01-06
122,5,2,38.8,831.0,212.027,0.781831,0.62349,2,2015-01-06
123,5,3,35.0,812.0,213.929,0.781831,0.62349,3,2015-01-06
124,5,4,33.43,799.0,210.475,0.781831,0.62349,4,2015-01-06
