IDX__global,IDX__step,IDX__sub_step,TARG__MGP_SICI,FUTU__D_SICI,FUTU__WIND_SICI,CONST__wd_sin,CONST__wd_cos,Hour,Date
0,0,0,65.92,1814.0,762.152,0.433884,-0.900969,0,2015-01-01
1,0,1,59.99,1740.0,808.381,0.433884,-0.900969,1,2015-01-01
2,0,2,39.1,1640.0,867.47,0.433884,-0.900969,2,2015-01-01
3,0,3,35.87,1533.0,912.556,0.433884,-0.900969,3,2015-01-01
4,0,4,33.4,1440.0,927.597,0.433884,-0.900969,4,2015-01-01
5,0,5,35.35,1422.0,927.277,0.433884,-0.900969,5,2015-01-01
6,0,6,39.1,1445.0,914.492,0.433884,-0.900969,6,2015-01-01
7,0,7,35.35,1405.0,866.191,0.433884,-0.900969,7,2015-01-01
8,0,8,18.0,1553.0,826.005,0.433884,-0.900969,8,2015-01-01
9,0,9,35.35,1897.0,797.011,0.433884,-0.900969,9,2015-01-01
10,0,10,35.35,2013.0,780.302,0.433884,-0.900969,10,2015-01-01
11,0,11,38.8,2120.0,776.279,0.433884,-0.900969,11,2015-01-01
12,0,12,38.85,2044.0,749.468,0.433884,-0.900969,12,2015-01-01
13,0,13,38.8,1864.0,695.104,0.433884,-0.900969,13,2015-01-01
14,0,14,38.85,1723.0,618.402,0.433884,-0.900969,14,2015-01-01
15,0,15,65.92,1742.0,547.597,0.433884,-0.900969,15,2015-01-01
16,0,16,65.92,1864.0,478.182,0.433884,-0.900969,16,2015-01-01
17,0,17,66.1,2139.0,415.774,0.433884,-0.900969,17,2015-01-01
18,0,18,68.0,2204.0,361.173,0.433884,-0.900969,18,2015-01-01
19,0,19,68.0,2265.0,321.04,0.433884,-0.900969,19,2015-01-01
20,0,20,68.0,2357.0,288.237,0.433884,-0.900969,20,2015-01-01
21,0,21,68.0,2337.0,258.534,0.433884,-0.900969,21,2015-01-01
22,0,22,68.0,2257.0,186.267,0.433884,-0.900969,22,2015-01-01
23,0,23,66.1,2132.0,150.898,0.433884,-0.900969,23,2015-01-01
24,1,0,65.92,1761.0,272.809,-0.433884,-0.900969,0,2015-01-02
25,1,1,65.15,1573.0,247.14,-0.433884,-0.900969,1,2015-01-02
26,1,2,65.15,1459.0,231.487,-0.433884,-0.900969,2,2015-01-02
27,1,3,65.15,1423.0,231.568,-0.433884,-0.900969,3,2015-01-02
28,1,4,65.15,1402.0,240.933,-0.433884,-0.900969,4,2015-01-02
29,1,5,65.15,1466.0,251.128,-0.433884,-0.900969,5,2015-01-02
30,1,6,65.92,1584.0,255.896,-0.433884,-0.900969,6,2015-01-02
31,1,7,66.1,1711.0,244.642,-0.433884,-0.900969,7,2015-01-02
32,1,8,68.0,1996.0,159.616,-0.433884,-0.900969,8,2015-01-02
33,1,9,68.0,2282.0,146.518,-0.433884,-0.900969,9,2015-01-02
34,1,10,66.1,2402.0,208.022,-0.433884,-0.900969,10,2015-01-02
35,1,11,66.1,2360.0,221.253,-0.433884,-0.900969,11,2015-01-02
36,1,12,66.1,2442.0,242.368,-0.433884,-0.900969,12,2015-01-02
37,1,13,66.1,2371.0,276.139,-0.433884,-0.900969,13,2015-01-02
38,1,14,66.1,2261.0,336.943,-0.433884,-0.900969,14,2015-01-02
39,1,15,68.0,2277.0,366.815,-0.433884,-0.900969,15,2015-01-02
40,1,16,68.0,2484.0,401.84,-0.433884,-0.900969,16,2015-01-02
41,1,17,75.0,2806.0,432.744,-0.433884,-0.900969,17,2015-01-02
42,1,18,72.21,2852.0,454.403,-0.433884,-0.900969,18,2015-01-02
43,1,19,74.99,2892.0,455.468,-0.433884,-0.900969,19,2015-01-02
44,1,20,68.0,2890.0,441.31,-0.433884,-0.900969,20,2015-01-02
45,1,21,68.0,2755.0,428.224,-0.433884,-0.900969,21,2015-01-02
46,1,22,68.0,2536.0,407.771,-0.433884,-0.900969,22,2015-01-02
47,1,23,66.1,2299.0,392.086,-0.433884,-0.900969,23,2015-01-02
48,2,0,65.92,1668.0,413.158,-0.974928,-0.222521,0,2015-01-03
49,2,1,65.15,1492.0,437.705,-0.974928,-0.222521,1,2015-01-03
50,2,2,37.81,1392.0,461.531,-0.974928,-0.222521,2,2015-01-03
51,2,3,37.57,1356.0,473.962,-0.974928,-0.222521,3,2015-01-03
52,2,4,37.15,1353.0,478.976,-0.974928,-0.222521,4,2015-01-03
53,2,5,37.81,1390.0,465.088,-0.974928,-0.222521,5,2015-01-03
54,2,6,65.15,1509.0,446.193,-0.974928,-0.222521,6,2015-01-03
55,2,7,65.92,1647.0,420.854,-0.974928,-0.222521,7,2015-01-03
56,2,8,66.1,1849.0,394.69,-0.974928,-0.222521,8,2015-01-03
57,2,9,66.1,1994.0,374.128,-0.974928,-0.222521,9,2015-01-03
58,2,10,66.1,1982.0,364.854,-0.974928,-0.222521,10,2015-01-03
59,2,11,65.92,2007.0,351.352,-0.974928,-0.222521,11,2015-01-03
60,2,12,65.92,1956.0,336.134,-0.974928,-0.222521,12,2015-01-03
61,2,13,65.92,1955.0,332.431,-0.974928,-0.222521,13,2015-01-03
62,2,14,66.1,1984.0,325.438,-0.974928,-0.222521,14,2015-01-03
63,2,15,66.1,2043.0,307.511,-0.974928,-0.222521,15,2015-01-03
64,2,16,68.0,2098.0,314.055,-0.974928,-0.222521,16,2015-01-03
65,2,17,68.0,2368.0,345.117,-0.974928,-0.222521,17,2015-01-03
66,2,18,68.0,2439.0,387.84,-0.974928,-0.222521,18,2015-01-03
67,2,19,68.0,2505.0,437.453,-0.974928,-0.222521,19,2015-01-03
68,2,20,68.0,2470.0,498.264,-0.974928,-0.222521,20,2015-01-03
69,2,21,68.0,2253.0,551.427,-0.974928,-0.222521,21,2015-01-03
70,2,22,66.1,2073.0,612.932,-0.974928,-0.222521,22,2015-01-03
71,2,23,65.92,1878.0,686.179,-0.974928,-0.222521,23,2015-01-03
72,3,0,54.99,1642.0,765.838,-0.781831,0.62349,0,2015-01-04
73,3,1,35.41,1497.0,797.185,-0.781831,0.62349,1,2015-01-04
74,3,2,27.0,1497.0,819.956,-0.781831,0.62349,2,2015-01-04
75,3,3,19.4,1440.0,838.163,-0.781831,0.62349,3,2015-01-04
76,3,4,18.0,1411.0,847.619,-0.781831,0.62349,4,2015-01-04
77,3,5,21.0,1433.0,842.701,-0.781831,0.62349,5,2015-01-04
78,3,6,38.51,1517.0,831.486,-0.781831,0.62349,6,2015-01-04
79,3,7,44.56,1582.0,828.853,-0.781831,0.62349,7,2015-01-04
80,3,8,65.15,1833.0,832.767,-0.781831,0.62349,8,2015-01-04
