IDX__global,IDX__step,IDX__sub_step,TARG__MGP_SUD,FUTU__D_SUD,FUTU__WIND_SUD,CONST__wd_sin,CONST__wd_cos,Hour,Date
0,0,0,51.1,2379.0,2196.42,0.433884,-0.900969,0,2015-01-01
1,0,1,49.0,2396.0,2207.093,0.433884,-0.900969,1,2015-01-01
2,0,2,39.1,2204.0,2230.397,0.433884,-0.900969,2,2015-01-01
3,0,3,35.87,2043.0,2240.73,0.433884,-0.900969,3,2015-01-01
4,0,4,33.4,1899.0,2203.072,0.433884,-0.900969,4,2015-01-01
5,0,5,36.57,1941.0,2116.552,0.433884,-0.900969,5,2015-01-01
6,0,6,39.1,1985.0,2011.875,0.433884,-0.900969,6,2015-01-01
7,0,7,45.21,1889.0,1795.837,0.433884,-0.900969,7,2015-01-01
8,0,8,40.0,1994.0,1748.066,0.433884,-0.900969,8,2015-01-01
9,0,9,40.8,2196.0,1705.294,0.433884,-0.900969,9,2015-01-01
10,0,10,38.8,2585.0,1708.599,0.433884,-0.900969,10,2015-01-01
11,0,11,38.8,2751.0,1890.042,0.433884,-0.900969,11,2015-01-01
12,0,12,38.85,2578.0,1899.223,0.433884,-0.900969,12,2015-01-01
13,0,13,38.8,2446.0,1864.958,0.433884,-0.900969,13,2015-01-01
14,0,14,38.85,2265.0,1774.55,0.433884,-0.900969,14,2015-01-01
15,0,15,49.95,2324.0,1629.762,0.433884,-0.900969,15,2015-01-01
16,0,16,54.69,2532.0,1318.787,0.433884,-0.900969,16,2015-01-01
17,0,17,61.9,2749.0,1204.538,0.433884,-0.900969,17,2015-01-01
18,0,18,58.2,2877.0,1136.786,0.433884,-0.900969,18,2015-01-01
19,0,19,57.88,2882.0,1100.014,0.433884,-0.900969,19,2015-01-01
20,0,20,57.87,2950.0,1083.068,0.433884,-0.900969,20,2015-01-01
21,0,21,53.63,2960.0,1225.828,0.433884,-0.900969,21,2015-01-01
22,0,22,49.46,2817.0,1213.204,0.433884,-0.900969,22,2015-01-01
23,0,23,43.0,2664.0,1196.131,0.433884,-0.900969,23,2015-01-01
24,1,0,48.5,2175.0,1106.029,-0.433884,-0.900969,0,2015-01-02
25,1,1,39.1,2120.0,1118.801,-0.433884,-0.900969,1,2015-01-02
26,1,2,37.0,2031.0,1145.555,-0.433884,-0.900969,2,2015-01-02
27,1,3,33.0,1995.0,1184.713,-0.433884,-0.900969,3,2015-01-02
28,1,4,34.19,1960.0,1204.577,-0.433884,-0.900969,4,2015-01-02
29,1,5,38.85,2075.0,1218.653,-0.433884,-0.900969,5,2015-01-02
30,1,6,51.35,2217.0,1218.073,-0.433884,-0.900969,6,2015-01-02
31,1,7,56.15,2290.0,1206.571,-0.433884,-0.900969,7,2015-01-02
32,1,8,63.98,2804.0,1168.706,-0.433884,-0.900969,8,2015-01-02
33,1,9,63.98,3638.0,1104.808,-0.433884,-0.900969,9,2015-01-02
34,1,10,64.75,3891.0,1020.388,-0.433884,-0.900969,10,2015-01-02
35,1,11,59.36,4144.0,926.405,-0.433884,-0.900969,11,2015-01-02
36,1,12,57.92,3625.0,839.115,-0.433884,-0.900969,12,2015-01-02
37,1,13,57.92,3740.0,758.025,-0.433884,-0.900969,13,2015-01-02
38,1,14,66.1,3117.0,662.729,-0.433884,-0.900969,14,2015-01-02
39,1,15,69.96,3201.0,570.843,-0.433884,-0.900969,15,2015-01-02
40,1,16,70.36,3703.0,487.23,-0.433884,-0.900969,16,2015-01-02
41,1,17,75.0,3521.0,441.58,-0.433884,-0.900969,17,2015-01-02
42,1,18,72.21,3612.0,429.87,-0.433884,-0.900969,18,2015-01-02
43,1,19,72.78,3646.0,414.842,-0.433884,-0.900969,19,2015-01-02
44,1,20,67.03,3609.0,399.012,-0.433884,-0.900969,20,2015-01-02
45,1,21,63.99,3495.0,397.634,-0.433884,-0.900969,21,2015-01-02
46,1,22,57.99,3332.0,421.216,-0.433884,-0.900969,22,2015-01-02
47,1,23,51.6,3148.0,475.857,-0.433884,-0.900969,23,2015-01-02
48,2,0,49.78,2390.0,696.126,-0.974928,-0.222521,0,2015-01-03
49,2,1,40.14,2112.0,714.997,-0.974928,-0.222521,1,2015-01-03
50,2,2,37.81,2061.0,723.529,-0.974928,-0.222521,2,2015-01-03
51,2,3,37.57,1918.0,735.888,-0.974928,-0.222521,3,2015-01-03
52,2,4,37.15,2006.0,755.567,-0.974928,-0.222521,4,2015-01-03
53,2,5,37.81,2057.0,768.593,-0.974928,-0.222521,5,2015-01-03
54,2,6,48.5,2300.0,764.839,-0.974928,-0.222521,6,2015-01-03
55,2,7,55.34,2398.0,729.53,-0.974928,-0.222521,7,2015-01-03
56,2,8,60.0,2671.0,683.619,-0.974928,-0.222521,8,2015-01-03
57,2,9,60.1,2947.0,652.351,-0.974928,-0.222521,9,2015-01-03
58,2,10,54.43,2950.0,671.614,-0.974928,-0.222521,10,2015-01-03
59,2,11,52.89,2806.0,725.93,-0.974928,-0.222521,11,2015-01-03
60,2,12,50.99,2659.0,794.151,-0.974928,-0.222521,12,2015-01-03
61,2,13,50.87,2485.0,895.893,-0.974928,-0.222521,13,2015-01-03
62,2,14,52.19,2618.0,1016.763,-0.974928,-0.222521,14,2015-01-03
63,2,15,54.76,2627.0,1131.835,-0.974928,-0.222521,15,2015-01-03
64,2,16,58.91,2837.0,1265.583,-0.974928,-0.222521,16,2015-01-03
65,2,17,63.2,3164.0,1417.114,-0.974928,-0.222521,17,2015-01-03
66,2,18,58.77,3269.0,1571.588,-0.974928,-0.222521,18,2015-01-03
67,2,19,58.71,3210.0,1701.99,-0.974928,-0.222521,19,2015-01-03
68,2,20,56.19,3152.0,1772.963,-0.974928,-0.222521,20,2015-01-03
69,2,21,48.99,3149.0,1778.363,-0.974928,-0.222521,21,2015-01-03
70,2,22,41.4,2883.0,1748.379,-0.974928,-0.222521,22,2015-01-03
71,2,23,39.1,2573.0,1719.092,-0.974928,-0.222521,23,2015-01-03
72,3,0,38.85,2307.0,1867.225,-0.781831,0.62349,0,2015-01-04
73,3,1,34.43,2156.0,1753.958,-0.781831,0.62349,1,2015-01-04
74,3,2,27.0,2051.0,1685.914,-0.781831,0.62349,2,2015-01-04
75,3,3,19.4,1937.0,1627.351,-0.781831,0.62349,3,2015-01-04
76,3,4,18.0,1952.0,1537.749,-0.781831,0.62349,4,2015-01-04
77,3,5,21.0,2008.0,1396.541,-0.781831,0.62349,5,2015-01-04
78,3,6,38.51,2171.0,1242.763,-0.781831,0.62349,6,2015-01-04
79,3,7,44.56,2261.0,1072.901,-0.781831,0.62349,7,2015-01-04
80,3,8,50.0,2495.0,911.942,-0.781831,0.62349,8,2015-01-04
81,3,9,52.65,2622.0,753.153,-0.781831,0.62349,9,2015-01-04
82,3,10,51.15,2779.0,680.21,-0.781831,0.62349,10,2015-01-04
83,3,11,49.78,2951.0,771.992,-0.781831,0.62349,11,2015-01-04
84,3,12,45.66,3168.0,966.491,-0.781831,0.62349,12,2015-01-04
85,3,13,40.14,2864.0,1137.837,-0.781831,0.62349,13,2015-01-04
86,3,14,39.1,2593.0,1277.928,-0.781831,0.62349,14,2015-01-04
87,3,15,49.3,2607.0,1373.968,-0.781831,0.62349,15,2015-01-04
88,3,16,53.79,2717.0,1446.101,-0.781831,0.62349,16,2015-01-04
89,3,17,63.74,3079.0,1501.534,-0.781831,0.62349,17,2015-01-04
90,3,18,61.99,3145.0,1569.664,-0.781831,0.62349,18,2015-01-04
91,3,19,64.0,3206.0,1614.816,-0.781831,0.62349,19,2015-01-04
92,3,20,64.0,3216.0,1660.386,-0.781831,0.62349,20,2015-01-04
93,3,21,53.93,3085.0,1699.493,-0.781831,0.62349,21,2015-01-04
94,3,22,49.1,2827.0,1735.809,-0.781831,0.62349,22,2015-01-04
95,3,23,45.61,2554.0,1757.308,-0.781831,0.62349,23,2015-01-04
96,4,0,47.72,2148.0,1621.496,0.0,1.0,0,2015-01-05
97,4,1,39.1,2017.0,1603.085,0.0,1.0,1,2015-01-05
98,4,2,35.21,1992.0,1573.208,0.0,1.0,2,2015-01-05
99,4,3,32.43,1941.0,1551.524,0.0,1.0,3,2015-01-05
100,4,4,33.15,1887.0,1587.885,0.0,1.0,4,2015-01-05
101,4,5,38.85,1991.0,1630.336,0.0,1.0,5,2015-01-05
102,4,6,48.89,2351.0,1648.132,0.0,1.0,6,2015-01-05
103,4,7,60.03,2583.0,1680.505,0.0,1.0,7,2015-01-05
104,4,8,63.98,3106.0,1734.229,0.0,1.0,8,2015-01-05
105,4,9,64.5,3421.0,1810.207,0.0,1.0,9,2015-01-05
106,4,10,55.49,3485.0,1954.288,0.0,1.0,10,2015-01-05
107,4,11,53.5,3406.0,2057.243,0.0,1.0,11,2015-01-05
108,4,12,51.0,3467.0,2123.31,0.0,1.0,12,2015-01-05
109,4,13,50.39,3431.0,2097.365,0.0,1.0,13,2015-01-05
110,4,14,54.45,3375.0,1994.554,0.0,1.0,14,2015-01-05
111,4,15,64.0,3247.0,1858.293,0.0,1.0,15,2015-01-05
112,4,16,64.25,3299.0,1692.243,0.0,1.0,16,2015-01-05
113,4,17,68.64,3791.0,1527.116,0.0,1.0,17,2015-01-05
114,4,18,67.0,3849.0,1369.706,0.0,1.0,18,2015-01-05
115,4,19,65.26,3846.0,1219.283,0.0,1.0,19,2015-01-05
116,4,20,64.0,3861.0,1053.27,0.0,1.0,20,2015-01-05
117,4,21,58.0,3482.0,962.127,0.0,1.0,21,2015-01-05
118,4,22,52.1,3154.0,968.836,0.0,1.0,22,2015-01-05
119,4,23,51.0,2830.0,1028.401,0.0,1.0,23,2015-01-05
120,5,0,49.78,2468.0,1423.395,0.781831,0.62349,0,2015-01-06
121,5,1,45.21,2229.0,1489.8,0.781831,0.62349,1,2015-01-06
122,5,2,38.8,2064.0,1556.411,0.781831,0.62349,2,2015-01-06
123,5,3,35.0,2007.0,1598.244,0.781831,0.62349,3,2015-01-06
124,5,4,33.43,2010.0,1607.265,0.781831,0.62349,4,2015-01-06
125,5,5,37.58,2038.0,1621.517,0.781831,0.62349,5,2015-01-06
126,5,6,43.5,2248.0,1618.781,0.781831,0.62349,6,2015-01-06
127,5,7,52.0,2699.0,1550.572,0.781831,0.62349,7,2015-01-06
128,5,8,52.0,3043.0,1453.581,0.781831,0.62349,8,2015-01-06
129,5,9,51.04,3223.0,1359.084,0.781831,0.62349,9,2015-01-06
130,5,10,50.28,3342.0,1300.798,0.781831,0.62349,10,2015-01-06
131,5,11,49.1,3423.0,1285.622,0.781831,0.62349,11,2015-01-06
132,5,12,47.97,3264.0,1253.736,0.781831,0.62349,12,2015-01-06
133,5,13,45.11,3075.0,1179.414,0.781831,0.62349,13,2015-01-06
134,5,14,45.44,2960.0,1075.388,0.781831,0.62349,14,2015-01-06
135,5,15,52.49,2952.0,950.509,0.781831,0.62349,15,2015-01-06
136,5,16,57.89,3206.0,862.221,0.781831,0.62349,16,2015-01-06
137,5,17,64.0,3472.0,808.162,0.781831,0.62349,17,2015-01-06
138,5,18,65.85,3439.0,765.229,0.781831,0.62349,18,2015-01-06
139,5,19,67.1,3561.0,723.424,0.781831,0.62349,19,2015-01-06
140,5,20,67.0,3575.0,684.015,0.781831,0.62349,20,2015-01-06
141,5,21,65.0,3559.0,643.656,0.781831,0.62349,21,2015-01-06
142,5,22,60.678486,3316.0,586.471,0.781831,0.62349,22,2015-01-06
143,5,23,51.068946,2978.0,530.504,0.781831,0.62349,23,2015-01-06
144,6,0,49.92,2237.0,463.696,0.974928,-0.222521,0,2015-01-07
145,6,1,45.5,2061.0,432.621,0.974928,-0.222521,1,2015-01-07
146,6,2,45.0,2061.0,412.257,0.974928,-0.222521,2,2015-01-07
147,6,3,41.85,2014.0,401.917,0.974928,-0.222521,3,2015-01-07
148,6,4,41.85,1915.0,381.804,0.974928,-0.222521,4,2015-01-07
149,6,5,44.32,2072.0,340.482,0.974928,-0.222521,5,2015-01-07
